model,seed,parameters,best_epoch,valence_ccc,arousal_ccc,mean_ccc,valence_rmse,arousal_rmse
dual,1337,313090,39,0.3285711407661438,0.7204200029373169,0.5244955718517303,0.28704118243181376,0.22792139798268285
salience,1337,313475,23,0.2530798017978668,0.7294747829437256,0.4912772923707962,0.31020963098951854,0.2250875938301359
dual,2026,313090,34,0.27455970644950867,0.7566445469856262,0.5156021267175674,0.2841837905640019,0.20342514897135117
salience,2026,313475,9,0.18197225034236908,0.7147558927536011,0.4483640715479851,0.2839699459476838,0.21330880731146554
dual,31415,313090,22,0.26468414068222046,0.7012859582901001,0.4829850494861603,0.2896265249265682,0.22285430030578626
salience,31415,313475,20,0.2657834589481354,0.7466487288475037,0.5062160938978195,0.29876345514379665,0.20560262909105342
