model,seed,parameters,best_epoch,valence_ccc,arousal_ccc,mean_ccc,valence_rmse,arousal_rmse
baseline_mlp,42,29442,21,0.15403522551059723,0.6261429190635681,0.39008907228708267,0.31171618152219915,0.26064464444743646
slow,42,227842,11,0.18965120613574982,0.6865627765655518,0.4381069913506508,0.292089069841151,0.23333557431529964
dual,42,313090,7,0.2062423974275589,0.6811841726303101,0.4437132850289345,0.28186924632474153,0.23943519245102213
salience,42,313475,10,0.19778841733932495,0.7449107766151428,0.4713495969772339,0.3058236043969465,0.21517932866414938
